Complaint,Category,Subcategory,Priority
Crime Reporting is slightly malfunctioning.,Public Safety,Crime Reporting,High
Crime Reporting seems broken Needs urgent review.,Public Safety,Crime Reporting,Low
There is an issue with the crime reporting Can someone check?,Public Safety,Crime Reporting,Critical
I saw a small problem in the crime reporting Urgent check needed.,Public Safety,Crime Reporting,Critical
Crime Reporting seems broken Urgent check needed.,Public Safety,Crime Reporting,High
Crime Reporting seems broken Might be dangerous.,Public Safety,Crime Reporting,Medium
Crime Reporting is not functioning well.,Public Safety,Crime Reporting,High
The crime reporting is not working Needs quick inspection.,Public Safety,Crime Reporting,Low
Crime Reporting is slightly malfunctioning Can someone check?,Public Safety,Crime Reporting,Critical
Crime Reporting is not functioning well Can someone check?,Public Safety,Crime Reporting,Low
The crime reporting needs attention Needs quick inspection.,Public Safety,Crime Reporting,Low
The crime reporting needs attention Please fix it.,Public Safety,Crime Reporting,Medium
I saw a small problem in the crime reporting Can someone check?,Public Safety,Crime Reporting,Critical
Crime Reporting has minor problems Needs urgent review.,Public Safety,Crime Reporting,Low
The crime reporting needs attention Urgent check needed.,Public Safety,Crime Reporting,Medium
Suspicious Activity is not functioning well Please fix it.,Public Safety,Suspicious Activity,Critical
I saw a small problem in the suspicious activity Not working as it should.,Public Safety,Suspicious Activity,Critical
Suspicious Activity is not functioning well.,Public Safety,Suspicious Activity,Medium
Something isn't right with the suspicious activity,Public Safety,Suspicious Activity,Low
Suspicious Activity has minor problems Please fix it.,Public Safety,Suspicious Activity,Medium
Suspicious Activity has minor problems Can someone check?,Public Safety,Suspicious Activity,Low
There is an issue with the suspicious activity Urgent check needed.,Public Safety,Suspicious Activity,Low
The suspicious activity is not working Please fix it.,Public Safety,Suspicious Activity,Critical
Suspicious Activity seems broken Urgent check needed.,Public Safety,Suspicious Activity,High
I saw a small problem in the suspicious activity.,Public Safety,Suspicious Activity,Low
Suspicious Activity has minor problems.,Public Safety,Suspicious Activity,High
Suspicious Activity is not functioning well Urgent check needed.,Public Safety,Suspicious Activity,Critical
Suspicious Activity seems broken Needs urgent review.,Public Safety,Suspicious Activity,High
There is an issue with the suspicious activity Can someone check?,Public Safety,Suspicious Activity,Critical
Suspicious Activity is not functioning well Might be dangerous.,Public Safety,Suspicious Activity,Low
Suspicious Activity seems broken Please fix it.,Public Safety,Suspicious Activity,Medium
Something isn't right with the suspicious activity Can someone check?,Public Safety,Suspicious Activity,Low
Suspicious Activity is slightly malfunctioning Can someone check?,Public Safety,Suspicious Activity,High
Reported a minor issue in suspicious activity Please fix it.,Public Safety,Suspicious Activity,Critical
The suspicious activity needs attention Needs urgent review.,Public Safety,Suspicious Activity,High
Suspicious Activity has minor problems Urgent check needed.,Public Safety,Suspicious Activity,High
There is an issue with the suspicious activity Not working as it should.,Public Safety,Suspicious Activity,Medium
Something isn't right with the suspicious activity Please fix it.,Public Safety,Suspicious Activity,High
Something isn't right with the suspicious activity Urgent check needed.,Public Safety,Suspicious Activity,Low
Suspicious Activity has minor problems Might be dangerous.,Public Safety,Suspicious Activity,Low
The suspicious activity needs attention Can someone check?,Public Safety,Suspicious Activity,Low
There is an issue with the suspicious activity,Public Safety,Suspicious Activity,High
Something isn't right with the suspicious activity Needs urgent review.,Public Safety,Suspicious Activity,Critical
The suspicious activity needs attention.,Public Safety,Suspicious Activity,Low
I saw a small problem in the suspicious activity Urgent check needed.,Public Safety,Suspicious Activity,Critical
Suspicious Activity seems broken Can someone check?,Public Safety,Suspicious Activity,Medium
Suspicious Activity is not functioning well Needs quick inspection.,Public Safety,Suspicious Activity,Medium
Suspicious Activity seems broken.,Public Safety,Suspicious Activity,Medium
Suspicious Activity has minor problems Needs attention.,Public Safety,Suspicious Activity,Critical
Something isn't right with the suspicious activity Needs attention.,Public Safety,Suspicious Activity,Critical
Suspicious Activity is slightly malfunctioning Urgent check needed.,Public Safety,Suspicious Activity,High
The suspicious activity needs attention Not working as it should.,Public Safety,Suspicious Activity,Low
There is an issue with the suspicious activity Might be dangerous.,Public Safety,Suspicious Activity,High
The suspicious activity is not working Might be dangerous.,Public Safety,Suspicious Activity,Low
Something isn't right with the suspicious activity.,Public Safety,Suspicious Activity,Critical
Something isn't right with the suspicious activity Might be dangerous.,Public Safety,Suspicious Activity,Medium
Suspicious Activity is slightly malfunctioning.,Public Safety,Suspicious Activity,High
There is an issue with the suspicious activity Needs attention.,Public Safety,Suspicious Activity,Critical
The suspicious activity is not working Not working as it should.,Public Safety,Suspicious Activity,Medium
Suspicious Activity seems broken Not working as it should.,Public Safety,Suspicious Activity,Critical
The suspicious activity is not working Can someone check?,Public Safety,Suspicious Activity,Critical
The suspicious activity is not working.,Public Safety,Suspicious Activity,Critical
Reported a minor issue in suspicious activity Needs urgent review.,Public Safety,Suspicious Activity,Low
I saw a small problem in the suspicious activity Needs urgent review.,Public Safety,Suspicious Activity,High
Suspicious Activity is slightly malfunctioning Might be dangerous.,Public Safety,Suspicious Activity,High
Suspicious Activity is slightly malfunctioning,Public Safety,Suspicious Activity,Low
The suspicious activity needs attention Please fix it.,Public Safety,Suspicious Activity,High
Suspicious Activity has minor problems Not working as it should.,Public Safety,Suspicious Activity,Low
Reported a minor issue in suspicious activity Can someone check?,Public Safety,Suspicious Activity,High
Suspicious Activity has minor problems Needs quick inspection.,Public Safety,Suspicious Activity,Medium
Suspicious Activity is not functioning well Not working as it should.,Public Safety,Suspicious Activity,Low
Suspicious Activity is slightly malfunctioning Needs attention.,Public Safety,Suspicious Activity,Critical
Suspicious Activity seems broken Needs attention.,Public Safety,Suspicious Activity,Critical
The suspicious activity is not working Needs attention.,Public Safety,Suspicious Activity,Medium
Something isn't right with the suspicious activity Needs quick inspection.,Public Safety,Suspicious Activity,Low
The suspicious activity needs attention Needs quick inspection.,Public Safety,Suspicious Activity,High
There is an issue with the suspicious activity Needs quick inspection.,Public Safety,Suspicious Activity,Low
I saw a small problem in the suspicious activity Might be dangerous.,Public Safety,Suspicious Activity,Critical
The suspicious activity needs attention,Public Safety,Suspicious Activity,Critical
Suspicious Activity is slightly malfunctioning Not working as it should.,Public Safety,Suspicious Activity,Medium
Reported a minor issue in suspicious activity,Public Safety,Suspicious Activity,High
Suspicious Activity is slightly malfunctioning Please fix it.,Public Safety,Suspicious Activity,Low
There is an issue with the suspicious activity Needs urgent review.,Public Safety,Suspicious Activity,Medium
Suspicious Activity is not functioning well Can someone check?,Public Safety,Suspicious Activity,Low
I saw a small problem in the suspicious activity Can someone check?,Public Safety,Suspicious Activity,Low
Reported a minor issue in suspicious activity Might be dangerous.,Public Safety,Suspicious Activity,High
Suspicious Activity is not functioning well Needs urgent review.,Public Safety,Suspicious Activity,Low
Suspicious Activity seems broken,Public Safety,Suspicious Activity,Low
Reported a minor issue in suspicious activity.,Public Safety,Suspicious Activity,High
There is an issue with the suspicious activity Please fix it.,Public Safety,Suspicious Activity,Critical
Reported a minor issue in suspicious activity Needs attention.,Public Safety,Suspicious Activity,Low
I saw a small problem in the suspicious activity Needs quick inspection.,Public Safety,Suspicious Activity,Medium
Reported a minor issue in suspicious activity Urgent check needed.,Public Safety,Suspicious Activity,High
I saw a small problem in the suspicious activity,Public Safety,Suspicious Activity,Medium
Suspicious Activity is slightly malfunctioning Needs quick inspection.,Public Safety,Suspicious Activity,High
Suspicious Activity is slightly malfunctioning Needs urgent review.,Public Safety,Suspicious Activity,Critical
The suspicious activity is not working Needs quick inspection.,Public Safety,Suspicious Activity,Low
The suspicious activity needs attention Might be dangerous.,Public Safety,Suspicious Activity,Medium
The suspicious activity is not working Urgent check needed.,Public Safety,Suspicious Activity,Critical
There is an issue with the suspicious activity.,Public Safety,Suspicious Activity,Critical
Reported a minor issue in suspicious activity Not working as it should.,Public Safety,Suspicious Activity,Medium
